2, 32, 0.018353, 0.386283, 0.000643, 0.080303, 0.027025, 0.179197, 0.047581, 0.000623, 0.077748, 0.024486, 0.177238, 0.045979
4, 32, 0.021486, 0.270871, 0.000530, 0.066017, 0.038832, 0.139502, 0.073261, 0.000413, 0.064364, 0.037313, 0.138039, 0.071884
1, 32, 0.012686, 0.644355, 0.000529, 0.110126, 0.005397, 0.280269, 0.016982, 0.000529, 0.110126, 0.005397, 0.280269, 0.016982
8, 32, 0.046541, 0.288250, 0.000494, 0.078768, 0.064591, 0.175507, 0.141708, 0.000404, 0.076979, 0.062911, 0.173822, 0.140034
16, 32, 0.050365, 0.476374, 0.000556, 0.132225, 0.124904, 0.325390, 0.307883, 0.000436, 0.130299, 0.122701, 0.323684, 0.306161
8, 128, 0.031143, 1.379072, 0.001344, 0.234067, 0.070012, 0.701342, 0.189774, 0.001260, 0.231178, 0.067352, 0.698572, 0.187159
16, 128, 0.049648, 1.016181, 0.001448, 0.212503, 0.129683, 0.575589, 0.319057, 0.001242, 0.209876, 0.127342, 0.573598, 0.316887
4, 128, 0.025808, 2.352687, 0.001551, 0.369537, 0.043390, 1.111216, 0.089469, 0.001357, 0.366456, 0.040998, 1.108682, 0.086936
2, 128, 0.018267, 4.501220, 0.001556, 0.677912, 0.028450, 2.092142, 0.052023, 0.001437, 0.675740, 0.026517, 2.089689, 0.049868
64, 128, 0.167042, 3.951751, 0.001792, 1.170002, 1.140559, 2.695247, 2.609543, 0.001369, 1.165319, 1.136346, 2.691904, 2.598098
64, 512, 0.168950, 6.942753, 0.002455, 1.542170, 1.144791, 4.293024, 2.972221, 0.001329, 1.526591, 1.130475, 4.286803, 2.878501
1, 128, 0.013930, 8.850357, 0.001044, 1.301416, 0.005403, 4.100465, 0.022359, 0.001044, 1.301416, 0.005403, 4.100465, 0.022359
128, 128, 0.281881, 7.482756, 0.001708, 2.355850, 2.340438, 5.077640, 5.033355, 0.001104, 2.351769, 2.336584, 5.074320, 5.027161
16, 512, 0.056341, 9.173846, 0.001795, 1.356100, 0.149328, 4.453073, 0.382642, 0.001501, 1.341785, 0.134701, 4.449493, 0.347185
128, 512, 0.276204, 8.920020, 0.002859, 2.573373, 2.373938, 5.766645, 5.105246, 0.001308, 2.560494, 2.362251, 5.761755, 5.047062
32, 32, 0.088188, 1.216113, 0.000626, 0.351970, 0.347239, 0.851840, 0.841658, 0.000460, 0.349490, 0.344276, 0.849643, 0.839377
8, 512, 0.032901, 17.531443, 0.001735, 2.496985, 0.081990, 8.356986, 0.222693, 0.001611, 2.485474, 0.072275, 8.350666, 0.195460
32, 128, 0.088525, 1.480408, 0.001704, 0.399286, 0.354307, 0.954331, 0.817409, 0.001269, 0.395993, 0.351164, 0.951780, 0.814231
256, 512, 0.289276, 16.085048, 0.003239, 4.755001, 4.652782, 11.014718, 10.681761, 0.001306, 4.743054, 4.643151, 11.008860, 10.634967
32, 512, 0.090357, 6.054446, 0.002053, 1.056297, 0.375949, 3.148178, 0.969839, 0.001207, 1.041318, 0.363106, 3.139854, 0.958182
256, 2048, 0.366020, 28.101558, 0.023821, 6.291305, 4.776507, 17.480300, 12.238117, 0.003405, 6.226830, 4.717543, 17.460860, 11.649316
512, 512, 0.311601, 30.627538, 0.003448, 9.644112, 9.591997, 20.798080, 20.633456, 0.001316, 9.631171, 9.580461, 20.793226, 20.482637
128, 2048, 0.316068, 31.144354, 0.060930, 5.562385, 2.509307, 17.082022, 6.479236, 0.005811, 5.463845, 2.430413, 17.018619, 5.965140
4, 512, 0.022410, 34.652801, 0.001831, 4.921201, 0.098647, 16.433380, 0.169002, 0.001606, 4.869520, 0.046269, 16.428872, 0.100131
512, 2048, 0.442103, 35.718676, 0.018329, 10.404465, 9.642308, 23.057409, 20.412514, 0.002965, 10.345703, 9.591751, 23.031966, 20.082941
64, 2048, 0.182887, 50.025176, 0.054430, 8.496449, 2.437873, 24.614052, 3.572926, 0.006205, 7.315642, 1.261242, 24.587247, 3.068218
2, 512, 0.018949, 68.819980, 0.001825, 9.678512, 0.042018, 32.596116, 0.088143, 0.001618, 9.667296, 0.028098, 32.590237, 0.058151
32, 2048, 0.097437, 74.839197, 0.026624, 10.846910, 0.601529, 35.825075, 1.188505, 0.007015, 10.641126, 0.447590, 35.680200, 1.015920
1, 512, 0.014599, 137.535672, 0.001187, 19.295860, 0.005712, 65.183606, 0.032941, 0.001187, 19.295860, 0.005712, 65.183606, 0.032941
16, 2048, 0.058526, 139.633722, 0.024312, 19.623437, 0.228602, 66.105440, 0.495333, 0.013613, 19.581440, 0.198095, 66.079866, 0.441179
8, 2048, 0.037085, 278.160525, 0.010975, 38.958645, 0.163270, 131.569973, 0.345896, 0.006728, 38.901804, 0.133962, 131.534458, 0.279459
128, 8192, 0.484857, 374.422260, 0.085739, 54.719166, 6.956989, 186.344198, 18.431272, 0.010752, 50.497555, 2.661289, 186.194183, 6.143041
4, 2048, 0.026900, 555.582071, 0.010872, 77.819241, 0.193738, 262.755389, 0.326156, 0.006533, 77.589050, 0.086126, 262.629959, 0.174258
64, 8192, 0.293702, 709.283603, 0.084162, 97.931689, 2.434410, 345.833401, 9.264284, 0.010887, 97.070333, 1.417019, 345.596287, 3.096556
2, 2048, 0.021406, 1110.524446, 0.010878, 155.438797, 0.345816, 525.181088, 0.211379, 0.006638, 155.319569, 0.079112, 525.039021, 0.124254
32, 8192, 0.144302, 1164.888053, 0.028947, 162.167584, 1.201282, 557.126608, 2.973564, 0.010054, 160.786071, 0.551343, 556.083963, 1.199478
16, 8192, 0.085621, 2208.796812, 0.029600, 305.986102, 0.506712, 1049.081021, 1.012833, 0.011466, 305.682858, 0.265754, 1048.681155, 0.558623
1, 2048, 0.016476, 2220.227169, 0.005770, 310.363219, 0.021207, 1049.722494, 0.092570, 0.005770, 310.363219, 0.021207, 1049.722494, 0.092570